Hotel_ID,X,Y,HNAME,ADDRESS,PHONE,NUMROOMS,WEB_URL,,,ZIPCODE
1,-77.02679345,38.97207345,MOTEL 6 WASHINGTON DC,6711 GEORGIA AVENUE NW,202-722-1600,72,https://www.motel6.com/en/motels.dc.washington.4063.html?ncr=true,,,20012
2,-77.08488478,38.96077377,EMBASSY SUITES BY HILTON WASHINGTON DC CHEVY CHASE PAVILION,4300 MILITARY ROAD NW,202-362-9300,198,http://www.embassysuitesdcmetro.com/,,,20015
3,-77.03539072,38.95643022,INTERNATIONAL GUEST HOUSE,1441 KENNEDY STREET NW,202-726-5808,12,https://igh-dc.com/,,,20011
4,-77.06560886,38.94695704,DAYS INN BY WYNDHAM WASHINGTON DC/CONNECTICUT AVENUE,4400 CONNECTICUT AVENUE NW,202-244-5600,155,http://www.dcdaysinn.com/,,,20008
5,-77.02840515,38.92992371,ASANTE SANA INN,1207 KENYON STREET NW,202-570-1281,6,,,,20010
6,-77.05553213,38.92816275,THE KALORAMA GUEST HOUSE,2700 CATHEDRAL AVENUE NW,202-588-8188,11,http://kaloramaguesthouse.com/,,,20008
7,-77.10273179,38.9267436,LUXBNB,5185 MACARTHUR BOULEVARD NW,202-341-8799,,https://www.luxbnb.com/,,,20016
8,-77.05373729,38.92587629,WOODLEY PARK GUEST HOUSE,2647 WOODLEY ROAD NW,202-667-0218,15,http://www.dcinns.com/woodley.html,,,20008
9,-77.05470109,38.92472404,WASHINGTON MARRIOTT WARDMAN PARK,2660 WOODLEY ROAD NW,202-328-2000,1300,http://www.marriott.com/hotels/travel/wasdt-washington-marriott-wardman-park/,,,20008
10,-77.0416003,38.92454512,ADAM'S INN,1746 LANIER PLACE NW,202-745-3600,26,http://adamsinn.com/,,,20009
11,-77.07275699,38.92331502,KIMPTON GLOVER PARK HOTEL,2505 WISCONSIN AVENUE NW,202-337-9700,150,https://www.gloverparkhotel.com,,,20007
12,-77.04170478,38.92277243,THE LINE DC,1770 EUCLID STREET NW,202-588-0525,,https://www.thelinehotel.com/dc/,,,20009
13,-77.05366669,38.92263332,OMNI SHOREHAM HOTEL,2500 CALVERT STREET NW,202-234-0700,832,https://www.omnihotels.com/hotels/washington-dc-shoreham,,,20008
14,-77.04229151,38.92041411,HIGHROAD HOSTE,1804 BELMONT ROAD NW,202-735-3622,,http://highroadhostels.com/,,,20009
15,-77.04855123,38.91815914,WINDSOR PARK HOTEL,2116 KALORAMA ROAD NW,202-483-7700,43,http://www.windsorparkhotel.com/,,,20008
16,-76.97060178,38.91798465,DAYS INN BY WYNDHAM WASHINGTON DC/GATEWAY,2700 NEW YORK AVENUE NE,202-832-5800,195,https://www.wyndhamhotels.com/days-inn/washington-district-of-columbia/days-inn-washington-dc-gateway/overview,,,20002
17,-77.04594514,38.91771987,AMERICAN GUEST HOUSE,2005 COLUMBIA ROAD NW,202-588-1180,12,http://www.americanguesthouse.com/,,,20009
18,-76.97997384,38.91743261,QUALITY INN  & SUITES NEW YORK AVE,1600 NEW YORK AVENUE NE,202-832-3200,134,https://www.choicehotels.com/district-of-columbia/washington/quality-inn-hotels/dc012,,,20002
19,-77.04753799,38.91729773,THE NORMANDY HOTEL,2118 WYOMING AVENUE NW,202-483-1350,75,http://www.thenormandydc.com/,,,20008
20,-76.97149094,38.91684189,"FAIRFIELD INN & SUITES WASHINGTON, DC/NEW YORK AVENUE",2305 NEW YORK AVENUE NE,202-266-3000,126,http://www.marriott.com/hotels/travel/wasna-fairfield-inn-and-suites-washington-dc-new-york-avenue/,,,20002
21,-76.98047346,38.91666267,IVY CITY HOTEL,1615 NEW YORK AVENUE NE,202-529-3900,58,https://www.ivycityhotel.com/,,,20002
22,-77.04523911,38.91647177,WASHINGTON HILTON,1919 CONNECTICUT AVENUE NW,202-483-3000,1070,http://www3.hilton.com/en/hotels/district-of-columbia/washington-hilton-DCAWHHH/index.html,,,20009
